Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.129-52.182.141.63-63471-443-6,192.168.1.129,63471,52.182.141.63,443,6,13/05/2026 06:12:22 pm,873383,6,14,1768.0,9103.0,1129.0,0.0,294.6666666666667,463.1525306706924,1440.0,0.0,650.2142857142858,699.8550595627672,12447.002059806522,22.899461061183924,45967.52631578948,105611.22237946771,284364.0,0.0,591919.0,118383.8,151686.11398443827,284859.0,606.0,873284.0,67175.69230769233,127746.95831237666,304447.0,0.0,0,0,0,0,120,304,6.869838318355177,16.029622742828746,0.0,1440.0,517.6666666666669,642.3484516470273,412611.53333333344,0,1,0,0,0,0,0,0,2.0,543.55,294.6666666666667,650.2142857142857,0,0,0,0,0,0,6,1768,14,9103,-1,16385,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.168.1.1-51911-53-17,192.168.1.129,51911,192.168.1.1,53,17,13/05/2026 06:12:45 pm,165546,1,2,34.0,169.0,34.0,34.0,34.0,0.0,135.0,34.0,84.5,71.4177848998413,1226.2452732171118,18.1218513283317,82773.0,70973.72184125615,132959.0,32587.0,0,0,0,0,0,165546.0,165546.0,0.0,165546.0,165546.0,0,0,0,0,8,16,6.040617109443901,12.081234218887802,34.0,135.0,59.25,50.5,2550.25,0,0,0,0,0,0,0,0,2.0,79.0,34.0,84.5,0,0,0,0,0,0,1,34,2,169,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-4.160.69.221-59384-443-6,192.168.1.129,59384,4.160.69.221,443,6,13/05/2026 06:13:03 pm,340286,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,2.9387045015075555,5.877409003015111,340286.0,0.0,340286.0,340286.0,0,0,0,0,0,340286.0,340286.0,0.0,340286.0,340286.0,0,0,0,0,0,52,0.0,5.877409003015111,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.142-53939-443-6,192.168.1.129,53939,192.178.54.142,443,6,13/05/2026 06:13:06 pm,303482,4,10,74.0,6954.0,74.0,0.0,18.5,37.0,1412.0,0.0,695.4,683.3928754546847,23157.880862785933,46.13123677845803,23344.769230769234,45147.71299699437,162319.0,0.0,272911.0,90970.33333333333,98148.4008648808,195839.0,1320.0,253703.0,28189.222222222226,52416.62562293042,162319.0,0.0,0,0,0,0,80,224,13.180353365273724,32.95088341318431,0.0,1412.0,468.5333333333333,640.9628768687071,410833.40952380945,0,1,0,0,0,0,0,0,2.0,502.0,18.5,695.4,0,0,0,0,0,0,4,74,10,6954,-1,1047,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.168.1.1-63686-53-17,192.168.1.129,63686,192.168.1.1,53,17,13/05/2026 06:13:00 pm,86739,1,3,33.0,131.0,33.0,33.0,33.0,0.0,49.0,33.0,43.666666666666664,9.237604307034012,1890.729660245103,46.11535756695373,28913.0,20537.85658241872,45497.0,5940.0,0,0,0,0,0,86739.0,43369.5,52933.30653284376,80799.0,5940.0,0,0,0,0,8,24,11.528839391738433,34.5865181752153,33.0,49.0,39.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,3.0,49.25,33.0,43.666666666666664,0,0,0,0,0,0,1,33,3,131,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-104.21.27.152-62213-443-6,192.168.1.129,62213,104.21.27.152,443,6,13/05/2026 06:12:54 pm,1188455,11,16,922.0,5099.0,493.0,0.0,83.81818181818184,144.42009429564723,1440.0,0.0,318.6875,485.41758225950844,5066.241464758868,22.71857159084694,45709.80769230769,86235.41652895021,314806.0,0.0,1104276.0,110427.6,124488.60843306106,314806.0,103.0,1188442.0,79229.46666666667,153270.13360071476,526279.0,0.0,0,0,0,0,232,356,9.25571435182653,13.462857239020408,0.0,1440.0,215.03571428571433,392.077229934109,153724.55423280422,0,1,0,0,0,0,0,0,1.0,223.0,83.81818181818181,318.6875,0,0,0,0,0,0,11,922,16,5099,-1,16,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.46-62970-443-6,192.168.1.129,62970,192.178.54.46,443,6,13/05/2026 06:13:15 pm,365846,6,12,74.0,8830.0,74.0,0.0,12.333333333333334,30.210373494325864,1412.0,0.0,735.8333333333334,677.3802253512939,24338.1094777584,49.20102994156011,21520.352941176472,41054.364958158185,148714.0,0.0,312669.0,62533.8,84151.524850712,178141.0,516.0,324838.0,29530.72727272727,48662.90540461164,148714.0,0.0,0,0,0,0,120,264,16.40034331385337,32.80068662770674,0.0,1412.0,468.6315789473683,640.2027639329343,409859.57894736837,0,1,0,0,0,0,0,0,2.0,494.6666666666667,12.333333333333334,735.8333333333334,0,0,0,0,0,0,6,74,12,8830,-1,1047,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-13.87.96.169-0-0-0,192.168.1.129,0,13.87.96.169,0,0,13/05/2026 06:12:46 pm,21430773,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266331083811116,3571795.5,3179460.5009835083,9298848.0,221462.0,2.1209311E7,4241862.2,3044468.915636387,9298848.0,1670390.0,0,0,0,0,0,0,0,0,0,0,0,0.2799712357552385,0.04666187262587309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,4567857.0,0.0,4567857.0,4567857.0,9298848.0,0.0,9298848.0,9298848.0,No Label
192.168.1.129-192.178.54.164-51954-443-6,192.178.54.164,443,192.168.1.129,51954,6,13/05/2026 06:12:39 pm,90,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22222.222222222223,90.0,0.0,90.0,90.0,0,0,0,0,0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,40,0.0,22222.222222222223,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-3.160.188.40-0-0-0,192.168.1.129,0,3.160.188.40,0,0,13/05/2026 06:12:50 pm,688865,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258316215804259,172216.25,117073.46412224817,262858.0,195.0,475819.0,158606.3333333333,139455.78156653576,262858.0,195.0,0,0,0,0,0,0,0,0,0,0,0,5.806652972643406,1.4516632431608516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
